,subject,trial,rt,choice,item_value_0,item_value_1,gaze_0,gaze_1,RT
0,1,0,1734.284,1,110,131,0.6690901915077964,0.3309098084922036,1734.2839999999999
1,1,1,6555.37,0,47,50,0.7596301287885193,0.24036987121148073,6555.37
2,1,2,3174.566,0,50,44,0.5493710773216847,0.45062892267831534,3174.566
3,1,3,2877.579,1,57,50,0.6084085120290168,0.3915914879709832,2877.579
4,1,4,1806.31,1,42,50,0.5228489835839909,0.47715101641600904,1806.31
5,1,5,3636.816,0,108,110,0.5597742637647253,0.4402257362352747,3636.816
6,1,6,3650.266,1,78,80,0.6820335968412484,0.31796640315875163,3650.2659999999996
7,1,7,3078.223,0,110,92,0.5652209146356717,0.4347790853643283,3078.223
8,1,8,1259.268,1,50,48,0.5080190325017158,0.49198096749828424,1259.268
9,1,9,3440.738,0,110,101,0.5583727822326793,0.4416272177673207,3440.738
10,1,10,5698.026999999999,1,46,50,0.5820893457550679,0.4179106542449321,5698.026999999999
11,1,11,8224.466999999999,1,80,83,0.6286423174890231,0.37135768251097695,8224.466999999999
12,1,12,2626.168,1,50,56,0.6663525828019724,0.33364741719802765,2626.1679999999997
13,1,13,1991.413,0,50,47,0.6995078685074666,0.3004921314925334,1991.4129999999996
14,1,14,1671.149,1,110,124,0.5080352444397429,0.49196475556025704,1671.149
15,1,15,2607.607,0,91,80,0.7461659179469651,0.253834082053035,2607.607
16,1,16,1527.826,1,64,80,0.4735120878342796,0.5264879121657204,1527.826
17,1,17,5043.16,0,83,80,0.5085359544749094,0.49146404552509054,5043.16
18,1,18,2267.665,1,101,110,0.5532419829039158,0.4467580170960842,2267.665
19,1,19,4499.543,0,56,50,0.6231069771556246,0.3768930228443754,4499.543
20,1,20,5571.061,0,50,42,0.5753058704589162,0.42469412954108376,5571.061
21,1,21,2045.641,1,110,117,0.6584307087902067,0.34156929120979335,2045.641
22,1,22,1402.112,1,77,80,0.4355230191042906,0.5644769808957095,1402.112
23,1,23,2736.625,1,80,91,0.5656225125251674,0.4343774874748326,2736.625
24,1,24,2065.604,1,44,50,0.5283347745884521,0.4716652254115478,2065.604
25,1,25,3058.203,1,50,57,0.5554386761858807,0.4445613238141192,3058.203
26,1,26,1613.454,1,50,46,0.48503511569638497,0.5149648843036151,1613.454
27,1,27,1931.482,1,110,108,0.550045076087799,0.449954923912201,1931.4820000000004
28,1,28,4895.517,0,133,110,0.6983793260100108,0.3016206739899891,4895.517
29,1,29,3197.86,1,131,110,0.577821404454098,0.42217859554590204,3197.86
30,1,30,2000.688,1,126,110,0.5112920868070556,0.48870791319294443,2000.688
31,1,31,1921.251,1,110,133,0.5976668550616535,0.40233314493834643,1921.2510000000002
32,1,32,2050.4970000000008,1,110,126,0.5223925780223837,0.47760742197761624,2050.4970000000003
33,1,33,2219.756,1,48,50,0.29291447900344875,0.7070855209965512,2219.7560000000003
34,1,34,1635.473,1,80,77,0.5222611997443127,0.4777388002556874,1635.473
35,1,35,5608.432,0,117,110,0.5203390609999368,0.47966093900006324,5608.432
36,1,36,4443.018,0,80,64,0.5670606571548639,0.4329393428451362,4443.018
37,1,37,2620.927,1,80,78,0.5245924391772242,0.47540756082277574,2620.927
38,1,38,1725.9029999999998,1,124,110,0.5588396409650251,0.44116035903497486,1725.9029999999998
39,1,39,3225.23,1,92,110,0.5789880540680953,0.4210119459319048,3225.23
40,1,40,1686.53,0,128,110,0.6576033457044506,0.34239665429554944,1686.53
41,1,41,2010.532,1,50,58,0.5267528722469943,0.4732471277530057,2010.5320000000002
42,1,42,2244.929,0,54,50,0.7022326719819331,0.29776732801806693,2244.929
43,1,43,2092.94,0,80,69,0.6524960142056575,0.34750398579434255,2094.94
44,1,44,1361.319,1,105,110,0.4827466496414042,0.5172533503585958,1361.319
45,1,45,1596.589,1,55,50,0.45520464859709736,0.5447953514029026,1596.589
